HUD frame time nsec:,16665000

Range Index,Elapsed Time, First Event,Last Event
602,704,9684,9684
603,704,9700,9700
604,672,9716,9716
605,704,9732,9732
606,672,9748,9748
607,672,9764,9764
608,704,9780,9780
609,704,9796,9796
610,704,9812,9812
611,672,9828,9828
612,672,9844,9844
613,704,9860,9860
614,672,9876,9876
615,704,9892,9892
616,704,9908,9908
617,672,9924,9924
618,704,9940,9940
619,672,9956,9956
620,672,9972,9972
621,704,9988,9988
622,672,10004,10004
623,672,10020,10020
624,704,10036,10036
625,800,10052,10052
626,672,10068,10068
627,672,10084,10084
628,672,10100,10100
629,704,10116,10116
630,736,10132,10132
631,736,10148,10148
632,736,10164,10164
633,704,10180,10180
634,672,10196,10196
635,704,10212,10212
636,736,10228,10228
637,704,10244,10244
638,704,10260,10260
639,672,10276,10276
640,672,10292,10292
641,704,10308,10308
642,704,10324,10324
643,736,10340,10340
644,704,10356,10356
645,704,10372,10372
646,736,10388,10388
647,672,10404,10404
648,704,10420,10420
649,704,10436,10436
650,704,10452,10452
651,704,10468,10468
652,672,10484,10484
653,704,10500,10500
654,736,10516,10516
655,704,10532,10532
656,704,10548,10548
657,672,10564,10564
658,704,10580,10580
659,704,10596,10596
660,672,10612,10612
661,672,10628,10628
662,704,10644,10644
663,832,10660,10660
664,704,10676,10676
665,672,10692,10692
666,672,10708,10708
667,672,10724,10724
668,672,10740,10740
669,672,10756,10756
670,672,10772,10772
671,704,10788,10788
672,672,10804,10804
673,672,10820,10820
674,672,10836,10836
675,672,10852,10852
676,928,10868,10868
677,672,10884,10884
678,672,10900,10900
679,672,10916,10916
680,832,10932,10932
681,704,10948,10948
682,672,10964,10964
683,672,10980,10980
684,672,10996,10996
685,672,11012,11012
686,672,11028,11028
687,672,11044,11044
688,672,11060,11060
689,672,11076,11076
690,704,11092,11092
691,672,11108,11108
692,704,11124,11124
693,704,11140,11140
694,672,11156,11156
695,672,11172,11172
696,672,11188,11188
697,672,11204,11204
698,672,11220,11220
699,704,11236,11236
700,672,11252,11252
701,672,11268,11268
702,672,11284,11284
703,704,11300,11300
704,640,11316,11316
705,640,11332,11332
706,672,11348,11348
707,672,11364,11364
708,672,11380,11380
709,640,11396,11396
710,672,11412,11412
711,672,11428,11428
712,672,11444,11444
713,672,11460,11460
714,640,11476,11476
715,672,11492,11492
716,672,11508,11508
717,672,11524,11524
718,672,11540,11540
719,704,11556,11556
720,672,11572,11572
721,672,11588,11588
722,672,11604,11604
723,672,11620,11620
724,672,11636,11636
725,672,11652,11652
726,672,11668,11668
727,672,11684,11684
728,672,11700,11700
729,640,11716,11716
730,672,11732,11732
731,672,11748,11748
732,672,11764,11764
733,672,11780,11780
734,672,11796,11796
735,704,11812,11812
736,672,11828,11828
737,672,11844,11844
738,672,11860,11860
739,672,11876,11876
740,672,11892,11892
741,672,11908,11908
742,672,11924,11924
743,672,11940,11940
744,672,11956,11956
745,704,11972,11972
746,672,11988,11988
747,672,12004,12004
748,672,12020,12020
749,672,12036,12036
750,672,12052,12052
751,672,12068,12068
752,672,12084,12084
753,672,12100,12100
754,672,12116,12116
755,896,12132,12132
756,672,12148,12148
757,672,12164,12164
758,672,12180,12180
759,672,12196,12196
760,672,12212,12212
761,672,12228,12228
762,672,12244,12244
763,672,12260,12260
764,672,12276,12276
765,640,12292,12292
766,640,12308,12308
767,672,12324,12324
768,672,12340,12340
769,672,12356,12356
770,640,12372,12372
771,672,12388,12388
772,672,12404,12404
773,672,12420,12420
774,672,12436,12436
775,640,12452,12452
776,672,12468,12468
777,672,12484,12484
778,640,12500,12500
779,640,12516,12516
780,672,12532,12532
781,672,12548,12548
782,672,12564,12564
783,672,12580,12580
784,672,12596,12596
785,704,12612,12612
786,672,12628,12628
787,640,12644,12644
788,672,12660,12660
